_windowserver      398   3.9  0.8 414217936  64608   ??  Ss   Wed08PM 231:40.61 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
aryanjhaveri     22558   0.0  0.9 412804592  73968   ??  S     3:14PM   0:02.87 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {9555a230-5b77-4823-bc49-5bfa70bc7d59} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.752764605 298 tab
aryanjhaveri     19439   0.0  0.5 413012560  45200   ??  S     3:03PM   0:06.27 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {29be9d7b-46f8-4daf-87ea-b53cb4bfdcb4} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.1090097273 288 tab
aryanjhaveri     19239   0.0  0.7 412742624  60608   ??  S     3:02PM   0:02.17 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {09a2f740-30f5-422b-b573-c330f1bc88c7} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.339236712 286 tab
aryanjhaveri     19237   0.0  0.5 412855120  45072   ??  S     3:02PM   0:02.38 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {bf58dca6-da3e-4b85-a6f1-7a3b55e18cda} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.909413855 285 tab
aryanjhaveri     19055   0.0  0.6 412658640  49184   ??  S     3:01PM   0:01.18 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {9f7b1fe3-333b-4546-8c96-1b7830fe4b65} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.2034811348 281 tab
aryanjhaveri     18981   0.0  1.0 412949552  86176   ??  S     3:01PM   0:10.26 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {61db367d-cb99-4564-9484-86ce67d84f53} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.446436275 277 tab
aryanjhaveri     18434   0.0  0.6 412813728  50304   ??  S     2:55PM   0:09.22 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {75611f95-6e1b-4fd5-b3e8-f8b2dcc482aa} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.254248703 272 tab
aryanjhaveri     18417   0.0  1.0 413196624  85840   ??  S     2:54PM   0:30.59 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {99d36d43-46cc-4e14-9d73-539a6354c750} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.1835754419 268 tab
aryanjhaveri     17840   0.0  0.7 412856560  57984   ??  S     2:39PM   0:05.64 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {fec8a3d9-feef-488f-a8e1-f7ce8347abb1} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.857447681 237 tab
aryanjhaveri     17838   0.0  0.6 412781904  51888   ??  S     2:39PM   0:05.03 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {5fd6fc13-9bfc-4e37-826f-17f038d56399} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.2108651500 236 tab
aryanjhaveri     17720   0.0  0.4 412711888  35616   ??  S     2:32PM   0:01.64 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40930 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {4a48665e-af48-4587-bef3-f0e5aaa714d6} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.21605084 201 tab
aryanjhaveri     78902   0.0  0.5 413043760  39248   ??  S    Mon10AM   3:15.42 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:40545 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {99f20f2c-e6fb-49db-8e3d-cd049d6aec4a} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.411274722 45 tab
aryanjhaveri     78676   0.0  0.1 410385392  11456   ??  S    Mon10AM   0:44.96 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -parentBuildID 20250529122813 -sandboxingKind 1 -prefsHandle 0:46042 -prefMapHandle 1:276453 -sbStartup -sbAppPath /Applications/Firefox.app -ipcHandle 0 -initialChannelId {8d00ef06-bb18-44ad-bf4a-761bf0b754dc} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.423151527 14 utility
aryanjhaveri     78652   0.0  0.1 410387792  11248   ??  S    Mon10AM   0:00.70 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -parentBuildID 20250529122813 -sandboxingKind 0 -prefsHandle 0:45924 -prefMapHandle 1:276453 -sbStartup -sbAppPath /Applications/Firefox.app -ipcHandle 0 -initialChannelId {1079a254-8221-40df-8398-7f8e3c5ae4bb} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.963003221 5 utility
aryanjhaveri     78651   0.0  0.7 434576096  62848   ??  S    Mon10AM   4:18.21 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -isForBrowser -prefsHandle 0:45831 -prefMapHandle 1:276453 -jsInitHandle 2:245828 -sbStartup -sbAppPath /Applications/Firefox.app -sbLevel 3 -parentBuildID 20250529122813 -ipcHandle 0 -initialChannelId {660296d3-b0c9-4e8f-b45e-915f44d703c6} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -greomni /Applications/Firefox.app/Contents/Resources/omni.ja -appomni /Applications/Firefox.app/Contents/Resources/browser/omni.ja -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.1318568592 4 tab
aryanjhaveri     78649   0.0  0.1 410457584  10816   ??  S    Mon10AM   0:08.64 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -parentBuildID 20250529122813 -prefsHandle 0:37506 -prefMapHandle 1:276453 -sbStartup -sbAppPath /Applications/Firefox.app -ipcHandle 0 -initialChannelId {1dddb66d-d728-4c57-8532-c47ea27a1d12} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.2051897155 3 rdd
aryanjhaveri     78647   0.0  0.1 410348640  10672   ??  S    Mon10AM   0:00.35 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container -parentBuildID 20250529122813 -prefsHandle 0:37381 -prefMapHandle 1:276453 -sbStartup -sbAppPath /Applications/Firefox.app -ipcHandle 0 -initialChannelId {1d0bcc31-faf3-452f-83ab-bcfb8ad49d73} -parentPid 78645 -crashReporter gecko-crash-server-pipe.78645 -appDir /Applications/Firefox.app/Contents/Resources/browser -profile /Users/aryanjhaveri/Library/Application Support/Firefox/Profiles/3che5w3d.default-release-5 org.mozilla.machname.1827372375 1 socket
aryanjhaveri     78646   0.0  0.0 410084688   1744   ??  S    Mon10AM   0:00.01 /Applications/Firefox.app/Contents/MacOS/crashhelper 78645 gecko-crash-server-pipe.78645 /private/var/folders/75/kdg1_qkj6wn1fpzpfk1h566r0000gn/T/TemporaryItems/ 8 10
aryanjhaveri      2540   0.0  0.1 426950624   4688   ??  S    Wed09PM   0:04.14 /usr/libexec/ContinuityCaptureAgent server
root              1005   0.0  0.0 426915888   1904   ??  Ss   Wed08PM   0:00.05 /System/Library/CoreServices/CrashReporterSupportHelper server-init
root               983   0.0  0.1 426953216   5344   ??  Ss   Wed08PM   0:03.22 /System/Library/CoreServices/SubmitDiagInfo server-init
_appleevents       541   0.0  0.0 426949536   2800   ??  Ss   Wed08PM   0:01.93 /System/Library/CoreServices/appleeventsd --server
_windowserver      439   0.0  0.0 426916400   1344   ??  S    Wed08PM   0:03.81 /usr/sbin/distnoted agent
aryanjhaveri     28287   0.0  0.5 1621813408  39904   ??  S     3:32PM   0:00.20 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Applications/Visual Studio Code.app/Contents/Resources/app/extensions/markdown-language-features/dist/serverWorkerMain --node-ipc --clientProcessId=28109
aryanjhaveri     28285   0.0  0.4 1621822624  35680   ??  S     3:32PM   0:00.14 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/aryanjhaveri/.vscode/extensions/dbaeumer.vscode-eslint-3.0.10/server/out/eslintServer.js --node-ipc --clientProcessId=28109
aryanjhaveri     28243   0.0  2.3 1625247472 191744   ??  S     3:32PM   0:05.59 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Users/aryanjhaveri/.vscode/extensions/ms-python.vscode-pylance-2025.5.1/dist/server.bundle.js --cancellationReceive=file:efd7fcb2849d35376bee377467c3bcf39a9140b212 --node-ipc --clientProcessId=28109
aryanjhaveri     28175   0.0  0.2 411474720  12688   ??  S     3:32PM   0:00.37 /Users/aryanjhaveri/.cache/uv/archive-v0/KQ7uFk86ApjIlyr3LR8D8/bin/python /Users/aryanjhaveri/.cache/uv/archive-v0/KQ7uFk86ApjIlyr3LR8D8/bin/blender-mcp
aryanjhaveri     28170   0.0  0.2 410712880  12720   ??  S     3:32PM   0:00.06 /Users/aryanjhaveri/.local/bin/uv tool uvx blender-mcp
aryanjhaveri     28150   0.0  0.5 1621784736  38816   ??  S     3:32PM   0:00.15 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin) /Applications/Visual Studio Code.app/Contents/Resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=28109
aryanjhaveri     28125   0.0  0.0 410792592   2592   ??  S     3:32PM   0:00.17 /Users/aryanjhaveri/.vscode/extensions/ms-python.python-2025.6.1-darwin-arm64/python-env-tools/bin/pet server
